※入力規則,入力用_アニメ項目マスタの子レコード（シリーズ）のIDを記載,,,,,,劇中歌があれば記載,劇中歌があれば記載,,"特記事項：
スナックバス江（エピソードごとにED異なる）"
,38148,1,影山ヒロノブ,Winner Win!,原因は自分にある。,放課後ギュッと,,,,
,38148,2,AXXX1S,Ability,上月せれな,BRAND NEW MOMENT,,,,
,38148,3,杉本琢弥,Believe it leap,ザアザア,ドロー,,,,
,38148,4,SAD originals.,戦いが消えた日,超学生,Abyss-Over,,,,
,38225,1,A応P,君氏危うくも近うよれ,ROOTS66 Party with 松野家6兄弟,レッツゴー!ムッツゴー! 〜6色の虹〜,,,,
,38225,2,A応P,まぼろしウインク,The おそ松さんズ with 松野家6兄弟,大人÷6×子供×6,,,,
,38335,1,ぐんまちゃん(CV:高橋花林)、あおま(CV:内田彩)、みーみ(CV:小倉唯),SWITCH！,今村麻莉愛（HKT48）,Happy,,,,
,38350,1,獅子神レオナ,Den of Daylight,ユプシロン,ドーン！,,,,
,38363,1,,,SawanoHiroyuki[nZk]:LiSA,narrative,mpi&Gemie,Vigilante,,
,38369,1,,,ヤネウラ書房,バズれ！ユーチューニャー！,,,,
,38251,1,A応P,nice to NEET you!,Shuta Sueyoshi with Totoko♡Nya & 松野家6兄弟,Max Charm Faces 〜彼女は最高♡♡!!!!!!〜,,,,
,38251,2,A応P,6つ子の魂ナユタまで,オムスビ with おそ松さんオールスターズ,Amazing Intelligence 〜クズは最高!!!!!!!!!!!!!♡♡△△〜,,,,
,38520,1,純情のアフィリア,究極アンバランス!,佐々木李子,Play the world,,,,
,38548,1,打首獄門同好会,シュフノミチ,打首獄門同好会,極・夫婦街道,今千秋,クライムキャッチポリキュア☆,,
,38559,1,打首獄門同好会,シュフノミチ,打首獄門同好会,極・夫婦街道,今千秋,クライムキャッチポリキュア☆,,
,38566,1,MADKID,Paranoid,JYOCHO,云う透り,,,,
,38580,1,Survive Said The Prophet,MUKANJYO,Aimer,Torches,,,,
,38580,2,MAN WITH A MISSION,Dark Crow,milet,Drown,,,,
,38605,1,Anonymouz,River,LMYK,Without Love,,,,
,38605,2,Survive Said The Prophet,Paradox,haju:harmonics,Ember,,,,
,38630,1,ラックライフ,Naru,ChouCho,オレンジ色,,,,
,38645,1,七尾旅人,ルパン三世主題歌II,SARM,かわいい男の子,,,,
,38709,1,前田佳織里,光ったコインが示す方,YABI×YABI,やっぱりエコノミー,,,,
,38723,1,竹達彩奈,明日のカタチ,Hakubi,Rewrite,,,,
,38748,1,THE HIGH-LOWS,胸がドキドキ,ZIGGY,STEP BY STEP,,,,
,38748,2,THE HIGH-LOWS,胸がドキドキ,ZIGGY,STEP BY STEP,,,,
,38748,3,THE HIGH-LOWS,胸がドキドキ,heath,迷宮のラヴァーズ,,,,
,38748,4,VELVET GARDEN,Feel Your Heart,heath,迷宮のラヴァーズ,,,,
,38791,1,VELVET GARDEN,Feel Your Heart,heath,迷宮のラヴァーズ,,,,
,38791,2,小松未歩,謎,宇徳敬子,光と影のロマン,,,,
,38791,3,小松未歩,謎,宇徳敬子,光と影のロマン,,,,
,38791,4,小松未歩,謎,DEEN,君がいない夏,,,,
,38835,1,小松未歩,謎,小松未歩,願い事ひとつだけ,,,,
,38835,2,ZARD,運命のルーレット廻して,小松未歩,願い事ひとつだけ,,,,
,38835,3,ZARD,運命のルーレット廻して,小松未歩,氷の上に立つように,,,,
,38835,4,ZARD,運命のルーレット廻して,小松未歩,氷の上に立つように,,,,
,38879,1,TWO-MIX,TRUTH ～A Great Detective of Love～,rumania montevideo,Still for your love,,,,
,38879,2,TWO-MIX,TRUTH ～A Great Detective of Love～,WAG,Free Magic,,,,
,38879,3,B’z,ギリギリchop,WAG,Free Magic,,,,
,38879,4,B’z,ギリギリchop,WAG,Free Magic,,,,
,38925,1,GARNET CROW,Mysterious Eyes,WAG,Free Magic,,,,
,38925,2,GARNET CROW,Mysterious Eyes,倉木麻衣,Secret of my heart,,,,
,38925,3,GARNET CROW,Mysterious Eyes,倉木麻衣,Secret of my heart,,,,
,38925,4,愛内里菜,恋はスリル、ショック、サスペンス,GARNET CROW,夏の幻,,,,
,38971,1,愛内里菜,恋はスリル、ショック、サスペンス,倉木麻衣,Start in my life,,,,
,38971,2,松橋美樹,destiny,倉木麻衣,always,,,,
,38971,3,松橋美樹,destiny,上原あずみ,青い青いこの地球に,,,,
,38971,4,松橋美樹,destiny,上原あずみ,青い青いこの地球に,,,,
,39016,1,倉木麻衣,Winter Bells,GARNET CROW,夢みたあとで,,,,
,39016,2,愛内里菜,I can’t stop my love for you♥,GARNET CROW,夢みたあとで,,,,
,39016,3,愛内里菜,I can’t stop my love for you♥,上原あずみ,無色,,,,
,39016,4,愛内里菜,I can’t stop my love for you♥,稲葉浩志,Overture,,,,
,39058,1,倉木麻衣,風のららら,ZARD,明日を夢見て,,,,
,39058,2,倉木麻衣,風のららら,ZARD,明日を夢見て,,,,
,39058,3,倉木麻衣,風のららら,GARNET CROW,君という光,,,,
,39058,4,三枝夕夏 IN db,君と約束した優しいあの場所まで,GARNET CROW,君という光,,,,
,39100,1,三枝夕夏 IN db,君と約束した優しいあの場所まで,三枝夕夏 IN db,眠る君の横顔に微笑みを,,,,
,39100,2,愛内里菜,START,三枝夕夏 IN db,眠る君の横顔に微笑みを,,,,
,39100,3,愛内里菜,START,三枝夕夏 IN db,眠る君の横顔に微笑みを,,,,
,39100,4,愛内里菜,START,GARNET CROW,忘れ咲き,,,,
,39140,1,愛内里菜,START,GARNET CROW,忘れ咲き,,,,
,39140,2,ZARD,星のかがやきよ,三枝夕夏 IN db,ジューンブライド ～あなたしか見えない～,,,,
,39140,3,ZARD,星のかがやきよ,竹井詩織里,世界 止めて,,,,
,39140,4,倉木麻衣,Growing of my heart,岩田さゆり,Thank You For Everything,,,,
,39182,1,B’z,衝動,ZARD,悲しいほど貴方が好き,,,,
,39182,2,B’z,衝動,上木彩矢,もう君だけを離したりはしない,,,,
,39182,3,愛内里菜＆三枝夕夏,100もの扉,上木彩矢,もう君だけを離したりはしない,,,,
,39182,4,愛内里菜＆三枝夕夏,100もの扉,上木彩矢,もう君だけを離したりはしない,,,,
,39218,1,三枝夕夏 IN db,雲に乗って,倉木麻衣,白い雪,,,,
,39218,2,三枝夕夏 IN db,雲に乗って,倉木麻衣,白い雪,,,,
,39218,3,GARNET CROW,涙のイエスタデー,滴草由実,I still believe ～ため息～,,,,
,39218,4,ZARD,グロリアス マインド,GARNET CROW,世界はまわると言うけれど,,,,
,39250,1,ZARD,愛は暗闇の中で,三枝夕夏 IN db,雪どけのあの川の流れのように,,,,
,39250,2,ZARD,愛は暗闇の中で,三枝夕夏 IN db,雪どけのあの川の流れのように,,,,
,39250,3,倉木麻衣,一秒ごとに Love for you,上木彩矢,Summer Memories,,,,
,39250,4,Naifu,Mysterious,滴草由実,GO YOUR OWN WAY,,,,
,39281,1,倉木麻衣,Revive,Naifu,恋心 輝きながら,,,,
,39281,2,BREAKERZ,Everlasting Luv,GARNET CROW,Doing all right,,,,
,39281,3,BREAKERZ,Everlasting Luv,BREAKERS,光,,,,
,39281,4,愛内里菜,MAGIC,BREAKERS,光,,,,
,39323,1,愛内里菜,MAGIC,Hundred Percent Free,Hello Mr. my yesterday,,,,
,39323,2,GARNET CROW,As the Dew,Hundred Percent Free,Hello Mr. my yesterday,,,,
,39323,3,GARNET CROW,As the Dew,Hundred Percent Free,Hello Mr. my yesterday,,,,
,39323,4,倉木麻衣,SUMMER TIME GONE,倉木麻衣,Tomorrow is the last Time,,,,
,39924,1,福山潤,DIES IN NO TIME,TRD（トラッド）,Strangers,ういにゃす,ヴァモネさんのテーマ,,
,39948,1,キヨ,有頂天猫,,,,,,
,39960,1,原由子,ぐでたま行進曲,,,,,,
,39971,1,嘘とカメレオン,モノノケ・イン・ザ・フィクション,宮野真守,LAST DANCE,七瀬かりん（上坂すみれ）,火炎放射器とわたし,,
,39364,1,Caos Caos Caos,tear drops,Hundred Percent Free（100％FREE）,十五夜クライシス ～君に逢いたい～,,,,
,39364,2,B’z,Don’t Wann Lie,BREAKERS,月夜の悪戯の魔法,,,,
,39364,3,GARNET CROW,Misty Mystery,B’z,ピルグリム,,,,
,39364,4,GARNET CROW,Misty Mystery,倉木麻衣,Your Best Friend,,,,
,39405,1,BREAKERZ,Miss Mystery,grram,悲しいほど 今日の夕陽 きれいだね,,,,
,39405,2,BREAKERZ,Miss Mystery,BREAKERS,オーバーライト,,,,
,39405,3,BREAKERZ,Miss Mystery,BREAKERS,オーバーライト,,,,
,39405,4,なついろ,君の涙にこんなに恋してる,倉木麻衣,恋に恋して,,,,
,39445,1,倉木麻衣,TRY AGAIN,倉木麻衣,恋に恋して,,,,
,39445,2,B’z,Q&A,BOYFRIEND,瞳のメロディ,,,,
,39445,3,B’z,Q&A,Chicago Poodle,君の笑顔がなによりも好きだった,,,,
,39445,4,VALSHE,Butterfly Core,Chicago Poodle,君の笑顔がなによりも好きだった,,,,
,39489,1,VALSHE,Butterfly Core,DAIGO,いま逢いたくて…,,,,
,39489,2,VALSHE,Butterfly Core,AKIHIDE,RAIN MAN,,,,
,39489,3,KNOCK OUT MONKEY,Greed,倉木麻衣,無敵なハート,,,,
,39489,4,倉木麻衣,DYNAMITE,倉木麻衣,無敵なハート,,,,
,39529,1,倉木麻衣,DYNAMITE,VALSHE,君への噓,,,,
,39529,2,BREAKERZ,WE GO,VALSHE,君への噓,,,,
,39529,3,BREAKERZ,WE GO,VALSHE,君への噓,,,,
,39529,4,La PomPon,謎,VALSHE,君への噓,,,,
,39571,1,稲葉浩志,羽,La PomPon,運命のルーレット廻して,,,,
,39571,2,B’z,世界はあなたの色になる,焚吐,ふたりの秒針,,,,
,39571,3,B’z,世界はあなたの色になる,倉木麻衣,SAWAGE☆LIFE,,,,
,39571,4,B’z,世界はあなたの色になる,倉木麻衣,SAWAGE☆LIFE,,,,
,39613,1,BREAKERZ,幾千の迷宮で 幾千の謎を解いて,倉木麻衣,YESTERDAY LOVE,,,,
,39613,2,BREAKERZ,幾千の迷宮で 幾千の謎を解いて,倉木麻衣,YESTERDAY LOVE,,,,
,39613,3,大黒摩季,"Lie,Lie,Lie",BREAKERS,夢物語,,,,
,39613,4,大黒摩季,"Lie,Lie,Lie",倉木麻衣,渡月橋 ～君 想ふ～,,,,
,39656,1,Cellchrome,Everything OK!!,焚吐×みやかわくん,神風エクスプレス,,,,
,39656,2,Cellchrome,Everything OK!!,焚吐×みやかわくん,神風エクスプレス,,,,
,39656,3,NormCore,カウントダウン,First place,さだめ,,,,
,39656,4,dps,タイムライン,Cellchrome,Aozolighter,,,,
,39697,1,倉木麻衣,薔薇色の人生,倉木麻衣,きみと恋のままで終われない いつも夢のままじゃいられない,,,,
,39697,2,倉木麻衣,薔薇色の人生,倉木麻衣,きみと恋のままで終われない いつも夢のままじゃいられない,,,,
,39697,3,Only this time,ANSWER,倉木麻衣,きみと恋のままで終われない いつも夢のままじゃいられない,,,,
,39697,4,Only this time,ANSWER,宮川愛李,Sissy Sky,,,,
,39736,1,WANDS,真っ赤なLip,SARD UNDERGROUND,少しづつ 少しづつ,,,,
,39736,2,WANDS,真っ赤なLip,SARD UNDERGROUND,少しづつ 少しづつ,,,,
,39736,3,WANDS,真っ赤なLip,all at once,星合,,,,
,39736,4,all at once,JUST BELIEVE YOU,all at once,星合,,,,
,39765,1,all at once,JUST BELIEVE YOU,宮川愛李,Reboot,,,,
,39765,2,倉木麻衣,ZEROからハジメテ,宮川愛李,Reboot,,,,
,39765,3,倉木麻衣,ZEROからハジメテ,宮川愛李,Reboot,,,,
,39765,4,WANDS,YURA YURA,倉木麻衣,ベロニカ,,,,
,39806,1,B’z,SLEEPLESS,BREAKERZ,SWEET MOONLIGHT,,,,
,39806,2,B’z,SLEEPLESS,SARD UNDERGROUND,空っぽの心,,,,
,39806,3,大黒摩季,SPARKLE,SARD UNDERGROUND,空っぽの心,,,,
,39806,4,大黒摩季,SPARKLE,all at once,プレイメーカー feat.大野雄大（from Da-iCE）,,,,
,39842,1,大黒摩季,SPARKLE,all at once,プレイメーカー feat.大野雄大（from Da-iCE）,,,,
,39842,2,WANDS,RAISE INSIGHT,クウフク（starring VALSHE）,今夜、あの街から,,,,
,39842,3,WANDS,RAISE INSIGHT,Rainy。,…and Rescue Me,,,,
,39842,4,倉木麻衣,Unraveling Love 〜少しの勇気〜,Rainy。,…and Rescue Me,,,,
,39884,1,倉木麻衣,Unraveling Love 〜少しの勇気〜,倉木麻衣,Y☺︎u & I,,,,
,39884,2,倉木麻衣,Unraveling Love 〜少しの勇気〜,倉木麻衣,Y☺︎u & I,,,,
,39884,3,倉木麻衣,Unraveling Love 〜少しの勇気〜,SARD UNDERGROUND,夢で逢いましょう,,,,
,39884,4,倉木麻衣,Unraveling Love 〜少しの勇気〜,SARD UNDERGROUND,夢で逢いましょう,,,,
,39984,1,南條愛乃,EVOLUTiON：,Poppin'Party,Moonlight Walk,,,,
,39997,1,上坂すみれ,EASY LOVE,長瀞さん（上坂すみれ）、ガモちゃん（小松未可子）、ヨッシー（鈴木愛奈）、桜（井澤詩織）,カラフル・キャンバス,,,,
,40010,1,高崎三奈美（北見六花）,カフェラテ恋ゴコロ,,,,,,
,40019,1,［Alexandros］,閃光,,,,,,
,40024,1,,,かずき山盛り,怪獣ファイヤ,,,,
,40039,1,ATEEZ,Like That,,,,,,
,40048,1,松本梨香,めざせポケモンマスター,ひゃくごじゅういち,オーキド博士（石塚運昇）とポケモンキッズ	,,,,
,40337,1,Happy Around!,ぐるぐるDJ TURN!!,天野愛莉（CV：水樹奈々）、姫神紗乃（CV：Raychell）,WOW WAR TONIGHT～時には起こせよムーヴメント～,,,,
,40130,1,ライバル！,松本梨香,タイプ：ワイルド,松本梨香,,,,
,40359,1,Argonavis feat. 旭 那由多 from GYROAXIA,BLACK&WHITE,Call of Artemis 【天野愛莉（CV.水樹奈々）、姫神紗乃（CV.Raychell）、嘉瀬茉奈（CV.小宮有紗）、高尾灯佳（CV.梅村妃奈子）】,Do the Dive,,,,
,40167,1,Whiteberry,めざせポケモンマスター,愛河里花子,ポケモンはらはらリレー,,,,
,40589,1,,,THE BOYZ,Here is,THE BOYZ,Take Me Back,,
,40373,1,GARDEN,アドバンス・アドベンチャー 〜Advance Adventure〜,江崎とし子,そこに空があるから,,,,
,40373,2,髙屋亜希那,バトルフロンティア,金沢明子,ポケモンかぞえうた,,,,
,40614,1,,,ギラ・ジルカ,白い部屋,I.C.I aka 市川愛,あなたのお相手,,
,40618,1,あきよしふみえ,Together,グリン,君のそばで 〜ヒカリのテーマ〜,,,,
,28998,1,福山 潤,君としか恋しない,DIALOGUE＋,アリバイなカーテシー,,,,
,40810,1,松本梨香,ベストウイッシュ!,奥井亜紀,心のファンファーレ,,,,
,40895,1,松本梨香,やじるしになって!,ももいろクローバーZ,みてみて☆こっちっち,,,,
,40955,1,遊助,V,J☆Dee'Z,X海峡Y景色,,,,
,41069,1,,,ano,普変,,,,
,41091,1,,,ano,普変,,,,
,41111,1,サトシ（松本梨香）,XY&Z,ユリーカ（伊瀬茉莉也）,プニちゃんのうた,,,,
,41161,1,サトシ（松本梨香） with ピカチュウ（大谷育江）,アローラ!!,岡崎体育,ポーズ,,,,
,41308,1,After the Rain,1・2・3,ポケモン音楽クラブ,ポケモンしりとり,,,,
,41445,1,サトシ（松本梨香）,めざせポケモンマスター -with my friends-,ひゃくごじゅういち,石塚運昇,,,,
,30327,1,米津玄師,BOW AND ARROW,ねぐせ。,アタシのドレス,,,,
,31185,1,ALI,CASANOVA POSSE,BREIMEN,Rolling Stone,,,,
,30452,1,INI,Make It Count,マルシィ,願いごと,,,,
,41458,1,湘南乃風,Grand Blue,伊豆乃風,紺碧のアル・フィーネ,,,,
,30240,1,Mili,Year N,LIP×LIP（勇次郎・愛蔵／CV：内山昂輝・島﨑信長）,僕らは愛に恋して生きる,,,,
,30300,1,saji,Wonderlust!!,岡咲美保,JOY!!,,,,
,41601,1,ulma sound junction,AXCLUSION,,,,,,
,41654,1,HACHI,Dusk,,,,,,
,41682,1,Anthos,Clockwork Flowers,Anthos,Fall leaves after leaves fall,,,,
,30131,1,りりあ。,幸せな約束。,伊東歌詞太郎,月影おくり,,,,
,30480,1,lol,POP UP!,FANTASTICS,ポケット,,,,
,31414,1,上杉真央,ゼロ・イグニッション,南條 愛乃,ダンデライオン,,,,
,41988,1,,,宇宙制服（本渡楓、ファイルーズあい、田所あずさ、和氣あず未）,絶対宇宙スタンダード,,,,
,42066,1,Franz Ferdinand,This Fffire,Dawid Podsiadło,Let You Down,Rosa Walton,I Really Want to Stay At Your House,,
,42273,1,ポルノグラフィティ,THE DAY,Brian the Sun,HEROES,,,,
,42287,1,米津玄師,ピースサイン,Little Glee Monster,だから、ひとりじゃない,,,,
,42287,2,amazarashi,空に歌えば,LiSA,だってアタシのヒーロー。,,,,
,42313,1,UVERworld,ODD FUTURE,miwa,アップデート,,,,
,42313,2,Lenny code fiction,Make my story,菅田将暉,ロングホープ・フィリア＜TV Limited＞,,,,
,42339,1,BLUE ENCOUNT,ポラリス,さユり,航海の唄,,,,
,42339,2,KANA-BOON,スターマーカー,緑黄色社会,Shout Baby,,,,
,42390,1,DISH//,No.1,the peggies,足跡,,,,
,42390,2,MAN WITH A MISSION,Merry-Go-Round,崎山蒼志,嘘じゃない,,,,
,42078,1,富永TOMMY弘明,ジョジョ 〜その血の運命〜,YES,ROUNDABOUT,,,,
,42078,2,Coda,BLOODY STREAM,YES,ROUNDABOUT,,,,
,42105,1,橋本仁,STAND PROUD,The Bangles,Walk Like an Egyptian,,,,
,42105,2,"JO☆STARS〜TOMMY,Coda,JIN〜",ジョジョ その血の記憶〜end of THE WORLD〜,Pat Metheny Group,Last Train Home,,,,
,42154,1,THE DU,Crazy Noisy Bizarre Town,Savage Garden,I Want You,,,,
,42154,2,batta,Great Days,Savage Garden,I Want You,,,,
,42194,1,Coda,Fighting Gold,Jodeci,Freek'n You,,,,
,42194,2,ハセガワダイスケ,裏切り者のレクイエム,Enigma,Modern Crusaders,,,,
,42234,1,ichigo from 岸田教団&THE明星ロケッツ,STONE OCEAN,Duffy,Distant Dreamer,,,,
,42234,3,sana (sajou no hana),Heaven's falling down,Duffy,Distant Dreamer,,,,
,42392,1,ASIAN KUNG-FU GENERATION,「出町柳パラレルユニバース」,,,,,,
,42400,1,YURiKA,ROMA☆KiRA,リリ（小松未可子）,Romantic Love〜恋愛しませんか?☆〜,,,,
,42427,1,MOB CHOIR,99,ALL OFF,リフレインボーイ,,,,
,42440,1,MOB CHOIR feat. sajou no hana,99.9,sajou no hana,グレイ,,,,
,42454,1,新浜レオン,捕まえて、今夜。,倉木麻衣,"Secret, voice of my heart",,,,
,42468,1,,,あおい（井口裕香）とひなた（阿澄佳奈）,スタッカート・デイズ,,,,
,42481,1,あおい（井口裕香）、ひなた（阿澄佳奈）、かえで（日笠陽子）、ここな（小倉唯）,夏色プレゼント,小倉唯,Tinkling Smile,,,,
,42481,2,あおい（井口裕香）、ひなた（阿澄佳奈）,毎日コハルビヨリ,鳴海杏子,Cocoiro Rainbow,,,,
,42506,1,あおい（井口裕香）、ひなた（阿澄佳奈）、かえで（日笠陽子）、ここな（小倉唯）,地平線ストライド,あおい（井口裕香）、ひなた（阿澄佳奈）,色違いの翼,,,,
,42520,1,あおい（井口裕香）、ひなた（阿澄佳奈）,想いのち晴れ,あおい（井口裕香）、ひなた（阿澄佳奈）,扉を開けてベルを鳴らそう,,,,
,42533,1,DA PUMP,Magical Babyrinth,芹澤優,デビきゅー,,,,
,42557,1,DA PUMP,No! No! Satisfaction!,天月-あまつき-,ココロショータイム,,,,
,42580,1,井口裕香,Prologue,伊東歌詞太郎,革表紙,,,,
,42594,1,鹿乃と宇崎ちゃん（大空直美）,なだめスかし Negotiation,YuNi,ココロノック,,,,
,42607,1,鹿乃と宇崎ちゃん（大空直美）,いちごいちえ Celebration,MKLNtic,はっぴーらいふ,,,,
,42621,1,UNISON SQUARE GARDEN,オリオンをなぞる,藍坊主,星のすみか,,,,
,42621,2,NOVELS,ミッシングリンク,珠妃,マインドゲーム,,,,
,42647,1,ROOKiEZ is PUNK'D,リクライム,アンダーグラフ,風を呼べ,,,,
,42647,2,DIRTY OLD MEN,弱虫な炎,AUTRIBE feat.DIRTY OLD MEN,I'm Ready,,,,
,42647,3,チーム総北［小野田坂道（山下大輝）、今泉俊輔（鳥海浩輔）、鳴子章吉（福島潤）、金城真護（安元洋貴）、巻島裕介（森久保祥太郎）、田所迅（伊藤健太郎）］,Be As One,チーム箱根学園［福富寿一（前野智昭）、真波山岳（代永翼）、東堂尽八（柿原徹也）、新開隼人（日野聡）、荒北靖友（吉野裕行）、泉田塔一郎（阿部敦）］,Glory Road,,,,
,42686,1,LASTGASP,Determination,ROOKiEZ is PUNK'D,リアライズ,,,,
,42686,2,ROOKiEZ is PUNK'D,リマインド,MAGIC OF LiFE,栄光への一秒,,,,
,42711,1,夏代孝明,ケイデンス,佐伯ユウスケ,ナウオアネバー,,,,
,42711,2,夏代孝明,トランジット,佐伯ユウスケ,タカイトコロ,,,,
,42737,1,Rhythmic Toy World,僕の声,THE HIGH CADENCE［小野田坂道（山下大輝）、今泉俊輔（鳥海浩輔）、鳴子章吉（福島潤）、手嶋純太（岸尾だいすけ）、青八木一（松岡禎丞）、鏑木一差（下野紘）］,Carry the Hope,,,,
,42737,2,宮崎誠,ダンシング,ROUTE85［真波山岳（代永翼）、泉田塔一郎（阿部敦）、黒田雪成（野島健児）、葦木場拓斗（宮野真守）、銅橋正清（小野大輔）、新開悠人（内田雄馬）］,Over the Limit,,,,
,42764,1,鈴木このみ,Love? Reason why!!,和泉沢愛生(CV.伊藤美来）、アメリア・アーヴィング（CV.竹達彩奈）、イリヤ・イリューヒン（CV.高橋李依）、バイ・モンファ（CV.金元寿子）、カリン・イステル（CV.高野麻里佳）,Flop Around,,,,
,31877,1,牧島 輝,Cuz I,内田 彩,Explosive Heart,隆成,さぁいこう！キズナファイブ,,
,42786,1,,,Hilcrhyme,千夜一夜 feat. 仲宗根泉 (HY),,,,
,42811,1,ドロップスターズ［星降そそぐ（小倉唯）、月野しずく（水瀬いのり）、夕陽ころな（上坂すみれ）］,Twinkling star,ポプ子、ピピ美,POPPY PAPPY DAY,上坂すみれ,POP TEAM EPIC,,
,42825,1,早見沙織,Tear of Will,早見沙織,Song of Mana -The Teardrop Crystal-,,,,
,42857,1,佐咲紗花,Never the Fever!!,栗林みな実,シュガー･シュガー･スパイス,,,,
,42889,1,NANO,CATASTROPHE,Lowland Jazz,BAD CITY（BUG HUMAN）,,,,
,42902,1,V.W.P,輪廻,STEREO DIVE FOUNDATION,TRISTAR,,,,
,42936,1,ずま（虹色侍）,MUSASHI,マナ,滅亡世界のバラッド,星野あおい（悠木碧） with スターフィールド,星の海のラウドネス,,
,42998,1,安月名莉子,知らなきゃ,nonoc,Change,,,,
,42950,1,LiSA,紅蓮華,FictionJunction feat. LiSA,from the edge,椎名豪 featuring 中川奈美,竈門炭治郎のうた,,
,42977,1,LiSA,明け星,LiSA,白銀,LiSA,炎,,
,42985,1,Aimer,残響散歌,Aimer,朝が来る,,,,
,43013,1,羊文学,光るとき,agraph feat.ANI（スチャダラパー）,unified perspective,,,,
,43040,1,蠟梅学園中等部1年3組,はじまりのセツナ,明日小路(CV.村上まなつ),Baton,明日小路(CV:村上まなつ),風にまかせて,,
,43026,1,ミラクルチンパンジー,瞬き,佐々木秀鳴（白井悠介）と宮野由美（斉藤壮馬）,いちごサンセット,,,,
,43054,1,春猿火,Oarana,,,,,,
,43061,1,Void_Chords feat.LIO,FLARE,DracoVirgo,ハジメノウタ,,,,
,43075,1,MindaRyn,Daylight,FantasticYouth,外道讃歌,,,,
,43103,1,大原ゆい子,言わないけどね。,高木さん（高橋李依）,気まぐれロマンティック,,,,
,43117,1,大原ゆい子,ゼロセンチメートル,高木さん（高橋李依）,奏（かなで）,,,,
,43130,1,大原ゆい子,まっすぐ,高木さん（高橋李依）,夢で逢えたら,,,,
,43089,1,増田俊樹,Midnight Dancer,小林愛香,マコトピリオド,,,,
,43144,1,Survive Said The Prophet,Papersky,蒼生シュウタ（榎木淳弥）、朱城ラン（内田雄馬）、翠堂コウキ（石川界人）,"255,255,255",Survive Said The Prophet,Find You,,
,43157,1,ニノミヤユイ,つらぬいて憂鬱,Hilcrhyme,ヨリドコロ,Shusei's Project,Ti amo,,
,43184,1,AKINO from bless4,海色,西沢幸奏,吹雪,金剛型四姉妹（金剛・比叡・榛名・霧島）,進め！金剛型四姉妹,,
,43171,1,やなぎなぎ×THE SIXTH LIE,LEVEL,南條愛乃,ヒトリとキミと,,,,
,43238,1,Novelbright,The Warrior,まふまふ,二千五百万分の一,,,,
,43269,1,弓木英梨乃,ボーン！ボーン！ボーン！,,,,,,
,43296,1,弓木英梨乃,ボーン！ボーン！ボーン！,,,,,,
,43324,1,ササノマリイ,空と虚,LMYK,0 (zero),,,,
,43324,2,Little Glee Monster,Your Name,モノンクル,salvation,,,,
,30341,1,HY,大大大好き,ひーなー（鬼頭明里）&かーなー（ファイルーズあい）,島人ぬ宝,ひーなー（鬼頭明里）&かーなー（ファイルーズあい）,あなたに,,
,43349,1,スペシャルウィーク(CV.和氣あず未)、サイレンススズカ(CV.高野麻里佳)、トウカイテイオー(CV.Machico)、ウオッカ(CV.大橋彩香)、ダイワスカーレット(CV.木村千咲)、ゴールドシップ(CV.上田瞳)、メジロマックイーン(CV.大西沙織),Make debut!,スペシャルウィーク(CV.和氣あず未)、サイレンススズカ(CV.高野麻里佳)、トウカイテイオー(CV.Machico)、ウオッカ(CV.大橋彩香)、ダイワスカーレット(CV.木村千咲)、ゴールドシップ(CV.上田瞳)、メジロマックイーン(CV.大西沙織),グロウアップ・シャイン！,,,,
,43363,1,スペシャルウィーク(CV.和氣あず未)、サイレンススズカ(CV.高野麻里佳)、トウカイテイオー(CV.Machico)、ウオッカ(CV.大橋彩香)、ダイワスカーレット(CV.木村千咲)、ゴールドシップ(CV.上田 瞳)、メジロマックイーン(CV.大西沙織),ユメヲカケル！,トウカイテイオー(CV.Machico)、メジロマックイーン(CV.大西沙織),木漏れ日のエール,,,,
,43377,1,,,スペシャルウィーク（和氣あず未）、セイウンスカイ（鬼頭明里）、キングヘイロー（佐伯伊織）、エルコンドルパサー（高橋未奈美）、グラスワンダー（前田玲奈）,ぴょいっと♪はれるや！,トウカイテイオー（Machico）、シンボリルドルフ（田所あずさ）、エアグルーヴ（青木瑠璃子）、フジキセキ（松井恵理子）、ヒシアマゾン（巽悠衣子）,Ring Ring ダイアリー,,
,43390,1,ナリタトップロード (CV.中村カンナ)、アドマイヤベガ (CV.咲々木瞳)、テイエムオペラオー (CV.徳井青空),Glorious Moment！,,,,,,
,43396,1,,,LMYK,Unity,,,,
,43402,1,CIVILIAN,千夜想歌,Aimer,季路,,,,
,43402,2,CIVILIAN,導,Aimer,cold rain,,,,
,43427,1,,,藤城リエ,トライアングル・メモリー,,,,
,43440,1,田村好,しょこらてぃっく♡にょたぼく,,,,,,
,44295,1,SPYAIR,イマジネーション,NICO Touches the Walls,天地ガエシ,,,,
,44295,2,スキマスイッチ,Ah Yeah!!,tacica,LEO,,,,
,44321,1,SPYAIR,アイム・ア・ビリーバー,Galileo Galilei,クライマー,,,,
,44321,2,BURNOUT SYNDROMES,FLY HIGH!!,tacica,発熱,,,,
,44347,1,BURNOUT SYNDROMES,ヒカリアレ,NICO Touches the Walls,マシ・マシ,,,,
,44358,1,BURNOUT SYNDROMES,PHOENIX,CHiCO with HoneyWorks,決戦スピリット,,,,
,44358,2,SUPER BEAVER,突破口,SPYAIR,One Day,,,,
